josekidb.c,,,,,,,,,,,,
  ,-A @@,-b @@,-e @@,-E @@,-n @@,-s @@,-t @@,-T @@,-v @@,¡®--help,¡¯--version,
original-1,87,199,177,170,193,193,122,121,190,2,1,
original-2,96,163,113,156,205,208,91,91,159,1,1,
original-3,101,234,118,140,203,144,107,119,164,2,1,
original-avg,94.66666667,198.6666667,136,155.3333333,200.3333333,181.6666667,106.6666667,110.3333333,171,1.666666667,1,123.3939394
now-1,97,245,175,156,220,182,112,112,153,11,13,
now-2,116,217,167,159,196,165,100,121,186,14,11,
now-3,100,144,133,187,184,200,126,148,207,11,13,
now-avg,104.3333333,202,158.3333333,167.3333333,200,182.3333333,112.6666667,127,182,12,12.33333333,132.7575758
