libQtXmlPatterns.so.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
  ,-a @@,-h @@,-g @@,-t @@,-l @@,-S @@,-s @@,-e @@,-n @@,-r @@,-d @@,-V @@,-I @@,-A @@,-u @@,-c @@,-D @@,--dyn-syms @@,--hex-dump=number @@,--string-dump=name @@,--relocated-dump=name @@,-z @@,-w @@,-W @@,¡®-H,¡¯-v,
original-1,263,2,2,2,2,2,14,6,2,265,2,4,2,2,2,2,2,10,1,2,2,2,1091,2,1,1,
original-2,273,2,2,2,2,2,9,2,2,282,2,4,2,1,1,1,1,10,1,2,2,2,1259,1,1,1,
original-3,448,2,2,2,2,2,16,2,1,259,2,4,1,1,1,1,1,9,2,1,1,1,977,2,1,1,
original-avg,328,2,2,2,2,2,13,3.33,1.67,268.67,2,4,1.67,1.33,1.33,1.33,1.33,9.67,1.33,1.67,1.67,1.67,1109,1.67,1,1,67.94
now-1,292,15,11,14,10,11,19,10,13,299,16,14,12,13,15,12,10,18,11,9,11,11,1119,9,11,11,
now-2,288,21,12,11,11,17,17,9,12,314,14,15,13,13,2,10,12,23,10,10,9,10,1176,10,12,14,
now-3,315,12,10,10,10,11,9,8,10,316,12,13,13,12,10,10,8,21,11,9,9,9,1270,11,13,13,
now-avg,298.3333333,16,11,11.66666667,10.33333333,13,15,9,11.66666667,309.6666667,14,14,12.66666667,12.66666667,9,10.66666667,10,20.66666667,10.66666667,9.333333333,9.666666667,10,1188.333333,10,12,12.66666667,79.69230769
